Restaurant,Review,Sentiment,Aspect
Coffee Break,The food is delicious the staff are really nice The ambience and the service is also great Wait time is very reasonable,positive,food staff ambiance
Coffee Break,We visited to have tea early morning And the taste was really nice which reminds me of my granny even she make the tea with this taste,positive,food
Coffee Break,It's a pure vegetarian cafe with varieties of food cakes pastries coffee freak shakes mocktails and many more Mr Mayur Joshi (owner) maintain the quality of food on the top relished to visit here,positive,food
Coffee Break,A small place very near to SMU It’s a good place to take a break in between while traveling to Gangtok It is a veg place with some good dishes and coffees in their menu Tries their mushroom garlic bread and it was good in taste The hazelnut latte was also not bad as per the place The prices are a bit on higher side but not very expensive,neutral,price
Coffee Break,Great cappuccino and extremely good Italian panini Just on the road to Gangtok They are very friendly and helpfull and have a lot of nice food and beverages you can try You should stop there on your way to Gangtok,positive,food service
Coffee break,is a must visit if you happen to pass by majhitar for those who is visiting Sikkim for the first time can stop by here for some heavenly refreshments The shakes is heavenly They make the best garlic breads and pasta too So all you foodie don’t miss out on this one,positive,food
Coffee Break,Having crossed the Teetsa river into Sikkim and regularised our Sikkim Visitors permit we enjoyed a refreshing short stop here to prepare for the drive to Gangtok,neutral,ambience
Coffee Break,The perfect place for an evening after a hectic day of classes Awesome chocolaty shakes I find their cakes sinfully delicious,positive,food
Punjabi Kitchen,delicious punjabi food and awsome atmosphere servise is too fast i think its a single place where u get real punjabi flavour,positive,service
Punjabi Kitchen,This a small place which we visited on our way from Namchi to Gangtok The owners are a sweet couple who treated us very warmly The food was really good We didn't have time to taste non veg dishes but I am sure they will be as authentic as veg ones,neutral,food service
Punjabi Kitchen,Best punjabi food in majhitar its small restaurent but very clean and hygenic interior is cool,positive,food
Punjabi Kitchen,We were a group of 15 people who visited the restaurant Their service was super quick and the food was delicious Everything we ordered like aaloo prantha yellow daal chicken/egg fried rice veg biryani was amazing It's a very small place though I had ordered veg biryani and it was one of the best I've had Would love to try other dishes at the restaurant,positive,food
Punjabi Kitchen,i went to punjabi kitchen with friends on 5 March 2016 its a small restaurant but they have the best punjabi Veg & Non-veg food in town awesome Ambiance needs to be improved as it should look punjabi also,positive,food ambience
Oasis Cafe,Average no value for money,negative,money
Oasis Cafe,Overpriced tasteless food untrained staff and greedy owner Only good for short toilet on the way,negative,food service
Oasis Cafe,Great Place and quality food,positive,food
Oasis Cafe,Food was excellent but service not satisfactory,neutral,food service
Oasis Cafe,Good food with excellent ambience,positive,food
Oasis Cafe,View and Food Excellent,positive,foof
Dominos Pizza,Nice to have some good pizzas on way to north Sikkim,positive,food
Imperfecto,Cozy comfortable and no nuisance well balanced place with good quality and satisfactory quantity of food,positive,food
Imperfecto,Nice food and amazing places super visit again,positive,food
Imperfecto,The food quality and taste of the food is very very poor They didn't even know the basic tastes of Punjabi sabji,negative,food
Oasis Cafe,Food was amazing,positive,food
Oasis Cafe,Great ambience and tasty food,positive,ambience food
Oasis Cafe,Service was slow,negative,service
Oasis Cafe,Food was bad,negative,food
Oasis Cafe,Average experience,neutral,service
Oasis Cafe,Very bad taste,negative,food
Oasis Cafe,Loved the food,positive,food
Oasis Cafe,Not good at all,negative,food
Imperfecto,Cozy place and good food,positive,ambience food
Imperfecto,decent experience,neutral,service
Imperfecto,Food quality is poor,negative,food
Imperfecto,Very bad service,negative,service
Imperfecto,Okay experience,neutral,food
Imperfecto,bad food,negative,food
Imperfecto,Not worth the money,negative,money
Dominos Pizza,serive is bad,negative,service
Dominos Pizza,Loved the pizza,positive,food
Dominos Pizza,Too expensive,negative,money
Dominos Pizza,Average taste,neutral,food
Dominos Pizza,decent pizza,neutral,food
Campus Mess,Food is decent,neutral,food
Campus Mess,Horrible food,negative,food
Campus Mess,Very bad quality,negative,food
Campus Mess,average food and service,neutral,food service
Campus Mess,Not clean,negative,service
Campus Mess,bad food,negative,food







